winery,wine,year,rating,num_reviews,country,region,type,body,acidity,price
Bodega Ribas,Sio Negre,2019,4.3,53,Espana,Mallorca,Red,4,3,39.9
Allende,Aurus,2001,4.3,53,Espana,Rioja,Rioja Red,4,3,140
Enate,Chardonnay Uno,2012,4.3,53,Espana,Somontano,Chardonnay,4,3,249.95
El Lagar de Isilla,Vendimia Seleccionada,2015,4.3,53,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,28.83
Finca Villacreces,Nebro Ribera del Duero,2013,4.3,53,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,196.29
Bodega Otazu,Pago de Otazu Chardonnay Con Crianza,2018,4.3,53,Espana,Otazu,Chardonnay,4,3,28.4
Jose Pariente,Verdejo Fermentado en Barrica,2020,4.3,53,Espana,Rueda,Verdejo,3,3,14.5
La Rioja Alta,Rioja Gran Reserva 904,1970,4.3,53,Espana,Rioja,Rioja Red,4,3,260
Toro Albala,Don PX Pedro Ximenez,1999,4.3,52,Espana,Montilla-Moriles,Pedro Ximenez,5,1,36.9
Cervoles,Vinyes Altes de Les Garrigues Vi Blanc,2019,4.3,52,Espana,Costers del Segre,NA,NA,NA,25.8
Anibal de Otero,Vina Centenaria Mencia,2014,4.3,52,Espana,Bierzo,Mencia,3,3,38
Familia Torres,Grans Muralles,2017,4.3,52,Espana,Conca de Barbera,Red,4,3,137.75
Costers del Siurana,Clos de L'Obac,2009,4.3,51,Espana,Priorato,Priorat Red,4,3,79.9
Bodegas San Roman,Malvasia,2017,4.3,51,Espana,Castilla,NA,NA,NA,41.5
Finca Rio Negro,Cerro del Lobo Syrah,2018,4.3,51,Espana,Castilla,Syrah,4,3,24.5
Cervoles,Estrats,2012,4.3,51,Espana,Costers del Segre,Red,4,3,68.55
Scala Dei,Masdeu,2016,4.3,51,Espana,Priorato,Priorat Red,4,3,81.35
Vina Sastre,Regina Vides Ribera del Duero,2001,4.3,50,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,121.5
Vizcarra,Celia,2014,4.3,50,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,79.98
Marques de Caceres,Gaudium,1998,4.3,50,Espana,Rioja,Rioja Red,4,3,60
Barahonda,Summum Monastrell,2019,4.3,50,Espana,Yecla,Monastrell,5,3,13.99
Mas Doix,Doix,2002,4.3,49,Espana,Priorato,Priorat Red,4,3,195.52
Altos del Enebro,Finca La Herradura,2014,4.3,49,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,68
Pago de Larrainzar,Reserva Especial,2014,4.3,49,Espana,Navarra,Red,4,3,16.9
Albamar,Alma de Mar Albarino,2019,4.3,49,Espana,Rias Baixas,Albarino,3,3,27.5
Williams & Humbert,Canasta 20 Anos Cream,N.V.,4.3,49,Espana,Jerez-Xeres-Sherry,Pedro Ximenez,5,1,29.25
Pujanza,Rioja Anadas Frias,2016,4.3,49,Espana,Rioja,Rioja White,3,3,75
Finca Rio Negro,5o Ano,2016,4.3,49,Espana,La Mancha,Red,4,3,23.9
Oxer Wines,Suzzane Rioja,2019,4.3,48,Espana,Rioja,Rioja Red,4,3,34.9
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1925,4.3,48,Espana,Rioja,Rioja Red,4,3,532
Dominio de Atauta,Llanos del Almendro Ribera del Duero,2010,4.3,48,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,95
Can Bas,Monreal,2015,4.3,48,Espana,Penedes,Red,4,3,44.1
Atlantida,Blanco,2019,4.3,48,Espana,Cadiz,NA,NA,NA,17.7
Atlan & Artisan,8 Vents Mallorca,2019,4.3,47,Espana,Mallorca,Red,4,3,18.9
Venus la Universal,Venus,2017,4.3,47,Espana,Montsant,Montsant Red,4,3,35.35
La Rioja Alta,Gran Reserva 890,1981,4.3,47,Espana,Rioja,Rioja Red,4,3,270
Olivardots,Vd'O 1 Samso - Pissarra,2012,4.3,46,Espana,Emporda,Red,4,3,34.95
Terroir Al Limit Soc. Lda,Les Manyes,2012,4.3,46,Espana,Priorato,Priorat Red,4,3,348.85
Lar de Paula,Tempranillo Reserva,2012,4.3,46,Espana,Rioja,Rioja Red,4,3,14.9
Venta Las Vacas,La Cuartilleja Reserva,2015,4.3,46,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,39.7
Juve & Camps,Cava Gran Reserva La Capella Brut,2010,4.3,46,Espana,Cava,Cava,2,3,75.5
Bodega Contador (Benjamin Romeo),Coleccion No. 3 Cosecha,2014,4.3,45,Espana,Rioja,Rioja Red,4,3,189.9
Luis Canas,Rioja Gran Reserva,2016,4.3,45,Espana,Rioja,Rioja Red,4,3,21.01
La Val,Albarino Sobre Lias,2015,4.3,45,Espana,Rias Baixas,Albarino,3,3,23.9
Tres Piedras,Nobbis,2019,4.3,45,Espana,Ribera del Duero,Tempranillo,4,2,12.8
Raul Perez,Rara Avis Prieto Picudo,2013,4.3,45,Espana,Castilla y Leon,Red,4,3,39.95
Javi Revert,Sensal,2020,4.3,45,Espana,Valencia,Red,4,3,22.35
Bodega Campo Eliseo,Campo Eliseo Blanco,2018,4.3,45,Espana,Rueda,Verdejo,3,3,27.25
Alta Alella,Blanc de Neu,2016,4.3,45,Espana,Alella,Sparkling,2,3,16.99
Contino,Reserva,1995,4.3,45,Espana,Rioja,Rioja Red,4,3,55
Terras Gauda,La Mar,2019,4.3,45,Espana,Rias Baixas,Albarino,3,3,21.5
Descendientes de J. Palacios,Las Lamas Bierzo (Corullon),2017,4.3,44,Espana,Bierzo,Mencia,3,3,106.92
Lambuena,Vinas Viejas,2014,4.3,44,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,37.065126
Tarsus,T3rno Seleccion de 3 Parcelas Ribera del Duero,2017,4.3,44,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,38.5
Bodegas Luis Perez,Fino La Barajuela,2016,4.3,44,Espana,Andalucia,NA,NA,NA,69.95
Marco Abella,Clos Abella Seleccion Especial,2016,4.3,44,Espana,Priorato,Priorat Red,4,3,43.5
Vivanco,Parcelas de Maturana Tinta Coleccion Rioja,2017,4.3,44,Espana,Rioja,Rioja Red,4,3,36.5
Familia Torres,Reserva Real,1998,4.3,43,Espana,Penedes,Red,4,3,213.5
Attis,Attis Embaixador Albarino,2018,4.3,43,Espana,Rias Baixas,Albarino,3,3,21.89
Miguel Merino,Vitola Reserva,2016,4.3,42,Espana,Rioja,Rioja Red,4,3,21.9
San Cobate,San Cucufate Monasterio,2017,4.3,42,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,33
Pazo Senorans,Tras Los Muros Albarino,2017,4.3,42,Espana,Rias Baixas,Albarino,3,3,38
Avancia,Godello,2020,4.3,42,Espana,Valdeorras,NA,NA,NA,24.77
Carlos Moro,CM Tinto,2017,4.3,42,Espana,Rioja,Tempranillo,4,2,17.75
Bodegas Frontonio,La Loma & Los Santos Garnacha Blanca - Macabeo,2018,4.3,41,Espana,Valdejalon,NA,NA,NA,40.9
Vinicola Real,200 Monges Rioja Gran Reserva,2005,4.3,40,Espana,Rioja,Rioja Red,4,3,52.5
Terra Remota,Clos Adrien,2016,4.3,40,Espana,Emporda,Red,4,3,48.91
Cal Batllet - Celler Ripoll Sans,Gratallops Escanya-Vella,2018,4.3,40,Espana,Priorato,NA,NA,NA,27.1
Ramon Bilbao,Lalomba Finca Ladero,2016,4.3,40,Espana,Rioja,Rioja Red,4,3,58.25
Santa Petronila,Oloroso En Rama,N.V.,4.3,40,Espana,Jerez-Xeres-Sherry,Sherry,4,3,24.9
Jimenez-Landi,El Reventon Cebreros,2016,4.3,40,Espana,Castilla y Leon,Grenache,5,3,67.95
Hidalgo (La Gitana),Amontillado Napoleon Vinos Viejos 30 Year Old Sherry,N.V.,4.3,40,Espana,Jerez-Xeres-Sherry,Sherry,4,3,74.9
Chivite,Navarra Vendimia Tardia Coleccion 125,2018,4.3,39,Espana,Navarra,NA,NA,NA,25.95
Espectacle del Montsant,Tinto,2018,4.3,39,Espana,Montsant,Montsant Red,4,3,119
Gallina de Piel,Manar dos Seixas,2019,4.3,38,Espana,Ribeiro,NA,NA,NA,13.5
Vinicola Real,200 Monges Edicion Exclusiva Blanco Reserva,2010,4.3,38,Espana,Rioja,Rioja White,3,3,51.45
Cartoixa de Montsalvat,Montsalvat,2005,4.3,38,Espana,Priorato,Priorat Red,4,3,56.27
Arid,Eolic Sauvignon Blanc,2016,4.3,38,Espana,Penedes,Sauvignon Blanc,3,3,11.65
Carlos Moro,Finca Valmediano Tinta de Toro 16 Meses Barrica,2012,4.3,38,Espana,Toro,Toro Red,5,3,32.9
Jimenez-Landi,Cantos del Diablo,2018,4.3,38,Espana,Mentrida,Grenache,5,3,197
Bodegas Reyes,Teofilo Reyes Crianza,2019,4.3,38,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,14.71
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,2018,4.3,38,Espana,Alicante,NA,NA,NA,16.45
Hugas de Batlle,Falguera,2009,4.3,38,Espana,Emporda,Red,4,3,53.55
Atlan & Artisan,Epistem No. 3,2016,4.3,38,Espana,Yecla,Red,4,3,18.9
Telmo Rodriguez,Molino Real,2015,4.3,38,Espana,Malaga,NA,NA,NA,53.3
Bodegas Arrocal,Angel Ribera del Duero,2015,4.3,37,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,31.9
Buil & Gine,Pleret,2012,4.3,37,Espana,Priorato,Priorat Red,4,3,55.5
Luis A. Rodriguez Vazquez,A Torna dos Pasas Escolma Ribeiro,2016,4.3,37,Espana,Ribeiro,Red,4,3,40.75
Castell del Remei,Costers Del Segre 1780,2017,4.3,37,Espana,Costers del Segre,Red,4,3,22.9
Vizcarra,Ines,2010,4.3,37,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,76.87
Vizcarra,Ines,2014,4.3,37,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,79.98
Valdubon,Honoris,2005,4.3,37,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,35
Emilio Moro,La Revelia Godello,2019,4.3,37,Espana,Bierzo,NA,NA,NA,21.65
Altanza,Club Rioja Reserva,2012,4.3,36,Espana,Rioja,Rioja Red,4,3,20.95
Bodegas Y Vinedos Alilian,Camino del Abuelo Vinas Viejas,2013,4.3,36,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,243.8
Artadi,La Morera de San Lazaro,2016,4.3,36,Espana,Vino de Espana,Tempranillo,4,2,80
Real de Asua,Tinto,2000,4.3,36,Espana,Rioja,Rioja Red,4,3,60.4
Artadi,Quintanilla,2016,4.3,35,Espana,Vino de Espana,Tempranillo,4,2,65.9
Taron,Reserva,2014,4.3,35,Espana,Rioja Alta,Rioja Red,4,3,10.2
Sebio,Salvaxe,2018,4.3,35,Espana,Ribeiro,NA,NA,NA,26.75
R. Lopez de Heredia,Vina Tondonia Reserva,2014,4.3,35,Espana,Rioja,Rioja Red,4,3,47.95
Gramona,Vi De Glass Gewurztraminer,2017,4.3,35,Espana,Cataluna,NA,NA,NA,18.58
Goyo Garcia Viadero,Finca Los Quemados,2016,4.3,35,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,27.7
Bodegas Reyes,Teofilo Reyes Crianza,2018,4.3,35,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,11.94
Marques de Caceres,Rioja Reserva,1985,4.3,35,Espana,Rioja,Rioja Red,4,3,45
Santiago Ruiz,Albarino (O Rosal),2021,4.3,35,Espana,Rias Baixas,Albarino,3,3,13.45
Terroir Al Limit Soc. Lda,Les Manyes,2017,4.3,35,Espana,Priorato,Priorat Red,4,3,180
Pujanza,Rioja,2005,4.3,34,Espana,Rioja,Rioja Red,4,3,29
Mauro Estevez,Vino de Autor Ribeiro Blanco,2020,4.3,34,Espana,Ribeiro,NA,NA,NA,15.9
Finca Valpiedra,Rioja Reserva,1994,4.3,34,Espana,Rioja,Rioja Red,4,3,65
Mas Bertran,Argila Reserva 3 Anys Brut Nature,2013,4.3,34,Espana,Penedes,Sparkling,2,3,21.6
Bodegas Gama,Octogenarius,2014,4.3,34,Espana,Rioja,Grenache,5,3,46.5
Edetaria,Finca La Pedrissa,2015,4.3,34,Espana,Terra Alta,Red,4,3,37.9
Hacienda Zorita Natural Reserve,Magister,2017,4.3,35,Espana,Arribes,Red,4,3,35.5
Valtravieso,Ribera del Duero Vendimia Seleccionada VT,2018,4.3,34,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,27.9
Ton Rimbau,Porcellanic VI Xarel-lo Sur Lie,2011,4.3,33,Espana,Penedes,NA,NA,NA,110.47
Can Xanet,Sibila,2017,4.3,33,Espana,Mallorca,Red,4,3,32.46
Castillo Perelada,Emporda Reserva Especial Don Miguel Mateu,2015,4.3,33,Espana,Emporda,Red,4,3,15.56
A Coroa,200 Cestos Godello,2020,4.3,33,Espana,Valdeorras,NA,NA,NA,23.7
Sebio,Heaven & Hell,2017,4.3,32,Espana,Galicia,NA,NA,NA,18.5
Celler de Capcanes,Cabrida Montsant,2018,4.3,32,Espana,Montsant,Montsant Red,4,3,36.85
Alonso & Pedrajo,Suane Blanco,2017,4.3,32,Espana,Rioja,Rioja White,3,3,23.9
Bodegas Amaren,Garnacha,2014,4.3,32,Espana,Rioja,Grenache,5,3,38
Jimenez-Landi,Cantos del Diablo,2017,4.3,33,Espana,Mentrida,Grenache,5,3,101.01
Bodegas Ochoa,Vendimia Tardia Moscatel,2020,4.3,32,Espana,Navarra,NA,NA,NA,13.75
Mandia Vell,Pinot Noir,2017,4.3,31,Espana,Mallorca,Red,4,3,29.38
Bodega Juan Carlos Sancha,Cerro La Isa Blanco,2018,4.3,31,Espana,Rioja,Rioja White,3,3,44.9
Valdecuevas,Cuvee Verdejo,2018,4.3,31,Espana,Rueda,Verdejo,3,3,12
Algueira,Anadelia,2015,4.3,31,Espana,Ribeira Sacra,NA,NA,NA,38.5
Sebio,Salvaxe,2017,4.3,31,Espana,Ribeiro,NA,NA,NA,28.35
Telmo Rodriguez,Tabuerniga,2018,4.3,31,Espana,Rioja,Rioja Red,4,3,65.22
Mocen,Seleccion Especial Verdejo,2021,4.3,32,Espana,Rueda,Verdejo,3,3,6.26
Estones,Coster d'en Fornos,2017,4.3,31,Espana,Montsant,Montsant Red,4,3,40.55
Bodega Tameran,Malvasia Volcanica,2020,4.3,31,Espana,Gran Canaria,NA,NA,NA,31.9
Inurrieta,Laderas de Inurrieta,2017,4.3,30,Espana,Navarra,Red,4,3,26.1
Telmo Rodriguez,El Velado Tinto,2017,4.3,30,Espana,Rioja,Rioja Red,4,3,73.95
Trus,Pico de Luyas,2018,4.3,30,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,48.9
Flor de Chasna,Blanco Afrutado,2020,4.3,30,Espana,Abona,NA,NA,NA,11.99
Lagar de Sabariz,A Pita Cega,2015,4.3,30,Espana,Galicia,NA,NA,NA,44.8
Mestres,Mas Via Gran Reserva Brut,2002,4.3,29,Espana,Cava,Cava,2,3,76.17
Muga,Prado Enea Gran Reserva,1970,4.3,29,Espana,Rioja,Rioja Red,4,3,120
Campillo,Finca Cuesta Clara Raro Reserva,2016,4.3,29,Espana,Rioja,Rioja Red,4,3,39.5
Naia,Naiades,2018,4.3,29,Espana,Rueda,Verdejo,3,3,19.03
AGE,Fuenmayor Gran Reserva,1959,4.3,29,Espana,Rioja,Rioja Red,4,3,230
Marques de Murrieta,Dalmau Rioja,1996,4.3,29,Espana,Rioja,Rioja Red,4,3,110
Marques de Riscal,Rioja Reserva,1964,4.3,29,Espana,Rioja,Rioja Red,4,3,310
Navajas,Mirador de Navajas Reserva Rioja,2011,4.3,29,Espana,Rioja,Rioja Red,4,3,28.75501021
Altanza,Coleccion Roberto Amillo Amontillado,N.V.,4.3,29,Espana,Jerez Amontillado,Sherry,4,3,39.9
Alvaro Domecq,1730 Amontillado,N.V.,4.3,29,Espana,Jerez Amontillado,Sherry,4,3,34.65
Allende,Aurus,2011,4.3,29,Espana,Rioja,Rioja Red,4,3,211.92
Bodega Juan Carlos Sancha,Cerro La Isa Garnacha,2018,4.3,28,Espana,Rioja,Rioja Red,4,3,43.9
Vinyes del Terrer,Nus del Terrer,2016,4.3,28,Espana,Tarragona,Red,4,3,25.9
Cepas Familiares,Nivel,2018,4.3,28,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,35
Bodegas Faustino,I Gran Reserva,1968,4.3,28,Espana,Rioja,Rioja Red,4,3,160
Dominio de Loalva,Seleccion Especial,2016,4.3,28,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,32
El Regajal,Galia Clos Santuy,2017,4.3,28,Espana,Castilla y Leon,Red,4,3,74.9
Ysios,Seleccion,2016,4.3,28,Espana,Rioja,Rioja Red,4,3,30
Antidoto,Le Rose,2018,4.3,28,Espana,Ribera del Duero,NA,NA,NA,49
Zifar,Pago de las Sabinas,2016,4.3,28,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,39.55
Romate,Old & Plus Oloroso,N.V.,4.3,28,Espana,Jerez Oloroso,Sherry,4,3,45
Altanza,Coleccion Roberto Amillo Palo Cortado,N.V.,4.3,27,Espana,Jerez-Xeres-Sherry,Sherry,4,3,47.7
Volver,Alicante Bouschet by Tarima,2018,4.3,27,Espana,Alicante,Red,4,3,14.9
Marques de Riscal,Rioja Gran Reserva,2016,4.3,27,Espana,Rioja,Rioja Red,4,3,46.45
Rodriguez de Vera,Tinto,2017,4.3,27,Espana,Almansa,Red,4,3,15.45
Bordalas Garcia,Gueta-Lupia,2011,4.3,27,Espana,Priorato,Priorat Red,4,3,31.75
Sierra Cantabria,Amancio,2002,4.3,27,Espana,Rioja,Rioja Red,4,3,110
Bodega Tameran,Marmajuelo,2020,4.3,27,Espana,Gran Canaria,NA,NA,NA,29.75
Bodega Tameran,Marmajuelo,2020,4.3,27,Espana,Gran Canaria,NA,NA,NA,29.75
Rimarts,Cava Reserva Especial Chardonnay Brut Nature,2016,4.3,27,Espana,Cava,Cava,2,3,18.5
Pinna Fidelis,Ribera del Duero Vendimia Seleccionada,2016,4.3,26,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,19.8563175
Habla,No. 23,2017,4.3,26,Espana,Extremadura,Red,4,3,23.1
Jimenez-Landi,Las Iruelas El Tiemblo,2018,4.3,26,Espana,Castilla y Leon,Grenache,5,3,97.07
Loess,Tinto,2019,4.3,26,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,8.57
Jimenez-Landi,Cantos del Diablo,2016,4.3,26,Espana,Mentrida,Grenache,5,3,67.95
Javier Sanz Viticultor,V Dulce de Invierno,2018,4.3,26,Espana,Castilla y Leon,NA,NA,NA,17.74
Dominio de Anza,Diego Magana,2020,4.3,26,Espana,Rioja,Rioja Red,4,3,37.9
Bodegas Amaren,Graciano,2012,4.3,26,Espana,Rioja,Rioja Red,4,3,68
Gomez Cruzado,Cerro Las Cuevas Seleccion Terroir,2019,4.3,26,Espana,Rioja,Rioja Red,4,3,39.89
Hacienda Solano,Pena Lobera,2018,4.3,25,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,68.9
Altos de Rioja,Altos R Pigeage Graciano,2016,4.3,25,Espana,Rioja,Rioja Red,4,3,35
Samsara,Ronda,2015,4.3,25,Espana,Sierras de Malaga,Red,4,3,32.5
Ordonez,Nisia Las Suertes Verdejo Old Vines,2020,4.3,25,Espana,Rueda,Verdejo,3,3,16.9
Josep Grau Viticultor,Territori,2019,4.3,25,Espana,Montsant,Red,4,3,23.6
Cuentavinas,Alomado,2018,4.3,25,Espana,Rioja,Rioja Red,4,3,46.95
Bodegas Gama,Octogenarius,2015,4.3,25,Espana,Rioja,Grenache,5,3,36.9
Miguel Merino,Gran Reserva,2000,4.3,25,Espana,Rioja,Rioja Red,4,3,48.81
Los Aguilares,Pinot Noir,2020,4.3,25,Espana,Sierras de Malaga,Red,4,3,33.5
Nin-Ortiz,Selma de Nin Blanco,2017,4.3,25,Espana,Cataluna,NA,NA,NA,56.95
Zifar,Senda de Los Olivos Roble,2020,4.3,25,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,8.9
Felix Solis,Mucho Mas Tinto,N.V.,4.2,32624,Espana,Vino de Espana,Red,4,3,4.99
Marques de Riscal,Rioja Reserva,2016,4.2,16505,Espana,Rioja,Rioja Red,4,3,15.9
La Rioja Alta,Vina Ardanza Reserva,2007,4.2,9098,Espana,Rioja,Rioja Red,4,3,23.7
Marques de Murrieta,Reserva Rioja (Finca Ygay),2016,4.2,8318,Espana,Rioja,Rioja Red,4,3,23
Emilio Moro,Ribera del Duero,2018,4.2,7825,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,19.5
Emilio Moro,Ribera del Duero,2017,4.2,7294,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,21.2
Tinto Pesquera,Reserva,2012,4.2,6567,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,27
La Rioja Alta,Vina Ardanza Reserva,2008,4.2,6532,Espana,Rioja,Rioja Red,4,3,33
El Coto,Coto de Imaz Rioja Gran Reserva,2012,4.2,6256,Espana,Rioja,Rioja Red,4,3,16.14
Dominio de Pingus,PSI,2016,4.2,6163,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,37.95
La Rioja Alta,Vina Alberdi Reserva,2015,4.2,5802,Espana,Rioja,Rioja Red,4,3,17.02
Abadia Retuerta,Seleccion Especial,2014,4.2,5178,Espana,Sardon de Duero,Red,4,3,49.85
Mar de Frades,Rias Baixas Albarino Atlantico,2019,4.2,4610,Espana,Rias Baixas,Albarino,3,3,14.95
Matarromera,Crianza,2016,4.2,4127,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,9.76
Arzuaga,Ribera del Duero Crianza,2016,4.2,4091,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,19.16
La Rioja Alta,Vina Alberdi Reserva,2016,4.2,3825,Espana,Rioja,Rioja Red,4,3,15.8
Imperial,Rioja Reserva,2015,4.2,3788,Espana,Rioja,Rioja Red,4,3,19.83333333
Protos,27 Ribera del Duero,2016,4.2,3725,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,21
Terras Gauda,Terras Gauda O Rosal,2020,4.2,3648,Espana,Rias Baixas,Albarino,3,3,12.29
Protos,27 Ribera del Duero,2017,4.2,3545,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,23.75
Remelluri,Rioja Reserva,2012,4.2,3453,Espana,Rioja,Rioja Red,4,3,15.83
Arzuaga,Ribera del Duero Crianza,2017,4.2,3354,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,15.45
Familia Torres,Salmos,2016,4.2,3225,Espana,Priorato,Priorat Red,4,3,24.85
Pago de Los Capellanes,Crianza Tinto,2017,4.2,3224,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,20.95
Marques de Riscal,Rioja Gran Reserva,2007,4.2,3101,Espana,Rioja,Rioja Red,4,3,28.43
R. Lopez de Heredia,Vina Bosconia Reserva,2008,4.2,2901,Espana,Rioja Alta,Rioja Red,4,3,22.58
Bodegas Mauro,Red,2011,4.2,2820,Espana,Castilla y Leon,Red,4,3,58.26
R. Lopez de Heredia,Vina Bosconia Reserva,2007,4.2,2820,Espana,Rioja Alta,Rioja Red,4,3,20.95
Familia Torres,Mas La Plana Cabernet Sauvignon,2010,4.2,2788,Espana,Penedes,Cabernet Sauvignon,4,3,48.4
Rafael Palacios,Louro Godello,2019,4.2,2685,Espana,Valdeorras,NA,NA,NA,19.7
Imperial,Rioja Reserva,2016,4.2,2676,Espana,Rioja,Rioja Red,4,3,24.75
Bodegas Roda,Roda Reserva Rioja,2015,4.2,2478,Espana,Rioja,Rioja Red,4,3,55.47
Bodegas Roda,Roda Reserva Rioja,2012,4.2,2375,Espana,Rioja,Rioja Red,4,3,28.4
Imperial,Rioja Reserva,2014,4.2,2364,Espana,Rioja,Rioja Red,4,3,27.6
Juan Gil,Jumilla Blue Label,2015,4.2,2271,Espana,Jumilla,Red,4,3,24.76
Juan Gil,Jumilla Blue Label,2018,4.2,2234,Espana,Jumilla,Red,4,3,24.6
Juan Gil,Jumilla Blue Label,2017,4.2,2135,Espana,Jumilla,Red,4,3,22.5
Bodegas Faustino,I Gran Reserva,1994,4.2,2074,Espana,Rioja,Rioja Red,4,3,124.5
Carmelo Rodero,Crianza,2017,4.2,2050,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,19.99
Atalaya,La Atalaya del Camino,2017,4.2,2022,Espana,Almansa,Red,4,3,11.8
Protos,27 Ribera del Duero,2018,4.2,1981,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,23.74
Bodegas Roda,Roda Reserva Rioja,2013,4.2,1931,Espana,Rioja,Rioja Red,4,3,30.35
Protos,Gran Reserva,2012,4.2,1921,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,38.84
Remelluri,Rioja Reserva,2013,4.2,1768,Espana,Rioja,Rioja Red,4,3,21.5
Tinto Pesquera,Reserva,2015,4.2,1688,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,29.95
Marques de Riscal,Rioja 150 Aniversario,2010,4.2,1686,Espana,Rioja,Rioja Red,4,3,59
Pintia,Toro,2006,4.2,1665,Espana,Toro,Toro Red,5,3,98.9
Bodegas Roda,Roda Reserva Rioja,2014,4.2,1645,Espana,Rioja,Rioja Red,4,3,59.9
Alto Moncayo,Veraton Garnacha,2014,4.2,1627,Espana,Campo de Borja,Grenache,5,3,19.94
R. Lopez de Heredia,Vina Bosconia Reserva,2009,4.2,1611,Espana,Rioja Alta,Rioja Red,4,3,23.52
Casa Rojo,Alexander vs. The Ham Factory,2016,4.2,1573,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,33.37333333
Dominio de Pingus,PSI,2019,4.2,1355,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,34.5
Alto Moncayo,Veraton Garnacha,2018,4.2,1343,Espana,Campo de Borja,Grenache,5,3,21.6
La Rioja Alta,Vina Alberdi Crianza,2015,4.2,1341,Espana,Rioja,Rioja Red,4,3,11.2
Huerta de Albala,Taberner Tierra de Cadiz,2014,4.2,1337,Espana,Cadiz,Syrah,4,3,32.0010771
Marques de Riscal,Rioja Gran Reserva,2011,4.2,1319,Espana,Rioja,Rioja Red,4,3,39.5
Garmon,Ribera del Duero,2015,4.2,1308,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,33.59
Marques de Murrieta,Capellania Reserva,2015,4.2,1301,Espana,Rioja,Rioja White,3,3,29.15
Aster,Finca El Otero,2014,4.2,1267,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,28.75
Matarromera,Crianza,2017,4.2,1209,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,16.88
Gramona,Gessami,2019,4.2,1164,Espana,Penedes,NA,NA,NA,9.95
Dominio de Atauta,Dominio de Atauta,2016,4.2,1159,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,25.71
Bodegas Ximenez-Spinola,Finest Old Harvest Medium,N.V.,4.2,1155,Espana,Jerez-Xeres-Sherry,Pedro Ximenez,5,1,18.87
Huerta de Albala,Taberner Tierra de Cadiz,2015,4.2,1125,Espana,Cadiz,Syrah,4,3,17.04
Montecastro,Ribera del Duero Red,2015,4.2,1095,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,18.9
Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2017,4.2,1093,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,55.75
Garmon,Ribera del Duero,2014,4.2,1086,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
Bodegas La Horra,Corimbo I,2014,4.2,1078,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,39
Carmelo Rodero,Crianza,2018,4.2,1070,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,16.49
